#grain_size_mm	site_0	site_1	site_2
5000	100	100	100
4000	100	100	99.7
3000	100	100	99.2
2500	100	100	97.5
2000	100	100	95
1500	100	99.9	86.5
1000	98.9	99.1	62.4
900	98.4	98.8	55.8
800	97.6	97.4	45.9
700	96.7	95	33.4
600	94.7	92.2	21.3
500	91.8	85.8	6.6
400	87	78.7	0
300	72.8	58.9	0
200	51.1	26	0
100	0	0	0
